"Order.ID","Order.Date","Ship.Date","Ship.Mode","Customer.ID","City","State","Postal.Code","Region","Product.ID","Product.Name","Segment","Category","Sub.Category","Revenue","Quantity","Discount","Profit"
"CA-2014-152156","11/9/2014","11/12/2014","Second Class","CG-12520","Henderson","Kentucky",42420,"South","FUR-BO-10001798","Bush Somerset Collection Bookcase","Consumer","Furniture","Bookcases",261.96,2,0,41.91
"CA-2014-152156","11/9/2014","11/12/2014","Second Class","CG-12520","Henderson","Kentucky",42420,"South","FUR-CH-10000454","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Consumer","Furniture","Chairs",731.94,3,0,219.58
"CA-2014-138688","6/13/2014","6/17/2014","Second Class","DV-13045","Los Angeles","California",90036,"West","OFF-LA-10000240","Self-Adhesive Address Labels for Typewriters by Universal","Corporate","Office Supplies","Labels",14.62,2,0,6.87
"US-2013-108966","10/11/2013","10/18/2013","Standard Class","SO-20335","Fort Lauderdale","Florida",33311,"South","FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Consumer","Furniture","Tables",957.5775,5,0.45,-383.03
"US-2013-108966","10/11/2013","10/18/2013","Standard Class","SO-20335","Fort Lauderdale","Florida",33311,"South","OFF-ST-10000760","Eldon Fold 'N Roll Cart System","Consumer","Office Supplies","Storage",22.368,2,0.2,2.52
"CA-2012-115812","6/9/2012","6/14/2012","Standard Class","BH-11710","Los Angeles","California",90032,"West","FUR-FU-10001487","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","Consumer","Furniture","Furnishings",48.86,7,0,14.17
"CA-2012-115812","6/9/2012","6/14/2012","Standard Class","BH-11710","Los Angeles","California",90032,"West","OFF-AR-10002833","Newell 322","Consumer","Office Supplies","Art",7.28,4,0,1.97
"CA-2012-115812","6/9/2012","6/14/2012","Standard Class","BH-11710","Los Angeles","California",90032,"West","TEC-PH-10002275","Mitel 5320 IP Phone VoIP phone","Consumer","Technology","Phones",907.152,6,0.2,90.72
"CA-2012-115812","6/9/2012","6/14/2012","Standard Class","BH-11710","Los Angeles","California",90032,"West","OFF-BI-10003910","DXL Angle-View Binders with Locking Rings by Samsill","Consumer","Office Supplies","Binders",18.504,3,0.2,5.78
"CA-2012-115812","6/9/2012","6/14/2012","Standard Class","BH-11710","Los Angeles","California",90032,"West","OFF-AP-10002892","Belkin F5C206VTEL 6 Outlet Surge","Consumer","Office Supplies","Appliances",114.9,5,0,34.47
